"author";"year";"sample_size";"sample_size_pre";"sample_size_post";"sample_size_fu";"nationality";"female_gender";"age_m";"age_sd";"patient_group";"minimum_pain_duration";"pain_duration_months_m";"pain_duration_sd";"age_m_sd";"attrition_post";"attrition_fu"
"Vendrig";2000;147;143;NA;130;"Netherlands";31;41.6;"(8.5)";"chronic low back pain; treated in 1996; aim to return to work";NA;"46.3";NA;"41.6 (8.5)";NA;9.09
"Abbasi";2012;36;10;9;9;"Iran";88;45;"(10)";"age: 18-70, married, longer than 6 months with low back pain";"6 months";"74 (median)";NA;"45 (10)";10;10
"Bendix";2000;138;59;51;48;"Denmark";66.1;42.1;"(NA)";"Precarious work situation because of low back pain (e.g. in danger of losing their job).
Chronic low back pain.";NA;"?";NA;"42.1 (NA)";13.56;18.64
"Borys";2015;155;155;155;63;"Germany";55.6;58.3;"(10.4)";"chronic low back pain as predominant condition; indication for attending MMT; sufficient understanding of German language";"3 months";"217.2";"172.8";"58.3 (10.4)";0;59.35
"Beaudreuil";2010;39;39;39;39;"France";28;42.9;"(8.2)";"Low back pain";"3";"28.6";"32";"42.9 (8.2)";0;0
"De Rooij";2014;138;133;NA;114;"Netherlands";95;45.04;"(10.3)";"Chronic widespread pain";NA;"84";NA;"45.04 (10.3)";NA;14.29
"Dysvik";2013;117;117;104;95;"Norway";79;45;"(11.25)";"chronic non-malignant pain";"6 months";"89.9";NA;"45 (11.25)";11.11;18.8
"Gantschnigg";2017;30;24;23;24;"Swiss";43;44.83;"(12.57)";"ICD-10 diagnosis of chronic musculoskeletal pain";NA;NA;NA;"44.83 (12.57)";4.17;0
"Grahn";2000;236;122;NA;113;"Sweden";82;44.3;"(9.1)";"•	Prolonged musculoskeletal disease as main diagnosis";NA;"68.4";"73.2";"44.3 (9.1)";NA;7.38
"Frost";2000;129;123;121;97;"United Kingdom";45;43;"(9)";"constant pain";"12 months";NA;NA;"43 (9)";1.63;21.14
"Hafenbrack";2013;681;560;544;242;"Germany";49.2;45.54;"(9.42)";"back pain";NA;NA;NA;"45.54 (9.42)";2.86;56.79
"Hafenbrack";2013;NA;157;152;68;NA;NA;NA;"(NA)";NA;NA;NA;NA;"NA (NA)";3.18;56.69
"Hallstam";2016;42;42;NA;29;"Sweden";90.5;43.6;"(15.7)";"complex pain problems";NA;">25 months pain (83% of the cohort)";NA;"43.6 (15.7)";NA;30.95
"Jensen";1997;63;30;28;25;"Sweden";100;43;"(9)";"nonspecific spinal pain without neurological signs";NA;"51";"68";"43 (9)";6.67;16.67
"Jensen";1997;NA;33;31;29;NA;100;45;"(8)";NA;NA;"44";"66";"45 (8)";6.06;12.12
"Mangels";2009;363;113;113;106;"Germany";78.8;49.5;"(9)";"Musculoskeletal pain";NA;NA;NA;"49.5 (9)";0;6.19
"Mangels";2009;NA;119;119;111;NA;75.6;48.3;"(15.8)";NA;NA;NA;NA;"48.3 (15.8)";0;6.72
"Martin";2012;180;120;108;93;"Spain";93.46;49.07;"(8.92)";"Fibromyalgia";"6 months";"174.22";"119.52";"49.07 (8.92)";10;22.5
"McAllister";2005;276;276;219;99;"United States";66.3;44.7;"(9.7)";"chronic non-malignant pain";"6";NA;NA;"44.7 (9.7)";20.65;64.13
"Reck";2017;71;69;NA;41;"Switzerland";54;43.59;"(11.84)";"chronic non-specific low back pain";NA;"44.4% more than 5 years";NA;"43.59 (11.84)";NA;40.58
"Roche";2011;132;68;NA;64;"France";32.4;40.8;"(7.4)";"non-specific LBP";"3";NA;NA;"40.8 (7.4)";NA;5.88
"Semrau";2014;554;280;266;193;"Germany";54.1;48.9;"(8)";"low back pain";"3";NA;NA;"48.9 (8)";5;31.07
"Silvemark";2014;164;154;133;68;"Sweden";69.5;37.4;"(9.07)";"long-term non-malignant pain";NA;"68.4";"21.9";"37.4 (9.07)";13.64;55.84
"Smeets";2008;223;58;55;52;"Netherlands";58.6;42.52;"(9.67)";"non-specific low-back pain";"3";"68.33";"74.21";"42.52 (9.67)";5.17;10.34
"smeets";2008;NA;61;55;53;NA;37.7;40.67;"(10.14)";NA;NA;"56.13";"67.5";"40.67 (10.14)";9.84;13.11
"spinhoven";2004;148;117;103;90;"Netherlands";63.5;39.8;"(9.1)";"Low back pain";"6";"117.6";"104.4";"39.8 (9.1)";11.97;23.08
"van Wilgen";2009;32;26;26;26;"Netherlands";73;42;"(11)";"chronic pain";"12 months";"96";"84";"42 (11)";0;0
"Verkerk";2011;1760;1760;1696;965;"Netherlands";74.26;40.1;"(10.6)";"chronic non-specific low back pain";"3";"92.4";"105.6";"40.1 (10.6)";3.64;45.17
"Kääpä";2006;64;64;59;49;"Finland";100;46;"(7.9)";"Low back pain";"1 year";"16";"25";"46 (7.9)";7.81;23.44
"Koopman";2004;68;68;64;51;"Netherlands";47.1;NA;"(41.2)";"Low back pain";"6";"72";"96.78";"NA (41.2)";5.88;25
"Lemstra";2005;43;43;36;35;"Canada";86;49.7;"(9.57)";"Chronic widespread pain";"6";"121.7";"128.36";"49.7 (9.57)";16.28;18.6
"van Hooff";2010;107;107;82;82;"Netherlands";57;44.1;"(8.4)";"Low back pain";"6";"12.3 (years)";"10.9 (years)";"44.1 (8.4)";23.36;23.36
