"","Author","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","ri_0","yi","vi","sei","zi","ci.lb","ci.ub"
"1","Abbasi",12.2,5.7,36,6.2,4.4,36,0,-1.0298855131576,0.0702870023640541,0.265116959782007,-3.88464590875072,-1.54950520602109,-0.510265820294113
"2","Jensen",42.8,16.3,29,37.9,18.1,29,0,-0.292476525384945,0.0704403882396767,0.265406081768442,-1.10199631988886,-0.812662886928983,0.227709836159093
"3","Kaapa",25.4,10.6,64,20.9,10.1,64,0,-0.419450877232308,0.0326245237375856,0.180622600295715,-2.32225024191648,-0.773464668605883,-0.0654370858587336
"4","Mangels",26.9,13.9,113,21.7,13.3,113,0,-0.37158903822661,0.0183100814749123,0.135314749657649,-2.74610889919053,-0.636801074132656,-0.106377002320564
"5","McAllister",0.52,0.14,138,0.45,0.16,276,0,-0.498634915667481,0.00769680575928028,0.0877314411102444,-5.68365125839994,-0.670585380555356,-0.326684450779605
"6","Oslund",10.05,0.27,108,7.9,0.23,108,0,-7.90699520261891,0.307965616362215,0.554946498648487,-14.2482117138779,-8.99467035331655,-6.81932005192127
"7","Silvemark",4.38,0.88,164,3.94,0.93,164,0,-0.497695261766169,0.012950306626782,0.11379941400017,-4.37344309844537,-0.720738014668265,-0.274652508864073
"8","Smeets",13.51,3.92,61,11.36,5.43,61,0,-0.541580015997334,0.035191056669899,0.187592794824052,-2.88699796015777,-0.909255137611689,-0.17390489438298
"9","Verkerk",51.7,15.6,1760,31.7,15.2,1760,0,-1.28150455213343,0.00160291304464168,0.0400363964992066,-32.0084888798329,-1.35997444734264,-1.20303465692422
"10","Volker",37.8,10.3,165,28.4,11.5,165,0,-0.908440348909964,0.0146220117197808,0.120921510575169,-7.5126447278811,-1.14544215459347,-0.671438543226453
"11","Wagner",52.72,6.2,142,49.14,7.73,142,0,-0.574341607524626,0.0152460150779365,0.123474754820313,-4.6514901638026,-0.816347679972354,-0.332335535076898
