"author_year"	"cohort_id"	"ed"	"ex"	"ga"	"bt"	"re"	"pm"	"ph"	"ba"	"wo"	"te"	"other_procedures"	"phy"	"psy"	"pt"	"ot"	"nur"	"swo"	"other_healthcare_providers"	"in_out_patient"	"type_of_contact"	"group_size"	"mode_of_delivery_subinfo"	"setting"	"time_span"	"hours"	"minutes"	"tailoring"	"followup_sessions_provided"	"followup_sessions_description"
"Abbasi (2012)"	"a"	1	0	0	1	1	1	0	0	0	0	"influence of spouse responses.
relapse prevention"	1	1	1	0	0	0	"orthopedic surgeon"	"outpatient"	"Mixed"	"6"	"face-to-face"	"pain clinic"	7	14	45	"Low"	NA	NA
"Abbasi (2012)"	"b"	1	0	0	1	1	1	0	0	0	0	"strategies for sustained practice and skill learning for dealing with setbacks and relapses"	1	1	1	0	0	0	"Orthopedic surgeon"	"outpatient"	"Mixed"	"6"	"face-to-face"	"pain clinic"	7	15	50	"Low"	NA	NA
"Beaudreuil (2010)"	"a"	0	1	0	0	1	0	0	0	0	0	"individual counseling sessions with physician (30 min. daily), setting goals to return to work with physician"	1	0	1	1	0	1	"Rheumatologist"	"outpatient"	"Group (>90%)"	"2-6"	"face-to-face"	"hospital"	5	137	30	"Low"	NA	NA
"Bendix (2000)"	"a"	1	1	0	0	1	1	0	0	0	0	"Psychology: optional: interview with patient and partner."	1	1	1	1	0	0	NA	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"hospital"	3	117	NA	"Medium"	"yes"	"Three single days followed the 3-week period of daily training. Two days were placed in the second and third week after the intensive program, and the third day after 2 months.
"
"Bendix (1998)"	"a"	1	1	0	1	1	0	0	0	0	0	"individual  counseling session (1x per week)."	1	1	1	1	0	1	"nutritionist"	"outpatient"	"Group (>90%)"	"6-8"	"face-to-face"	"pain clinic"	3	135	NA	"Low"	NA	NA
"Bendix (1998)"	"b"	1	1	0	1	1	0	0	0	0	0	"individual  counseling session (1x per week)."	1	1	1	1	0	1	"nutritionist"	"outpatient"	"Group (>90%)"	"6-8"	"face-to-face"	"pain clinic"	3	135	NA	"Low"	NA	NA
"Benz (2019)"	"a"	1	1	0	1	1	1	1	0	0	0	"Qigong/tai chi activities, humour therapy, horticultural therapy, nursing care, regular medical consultations, including drug therapy."	1	1	1	1	0	0	"Qigong instructor, creative therapist, humor therapist"	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"treatment/rehabilitation center"	4	94	NA	"Low"	"No"	NA
"Benz (2019)"	"a"	1	1	0	1	1	1	1	0	0	0	"humor therapy (creative activities), Qigong, medical consultations"	1	1	1	1	0	0	"Qigong instructor, creative therapist, humor therapist"	"inpatient"	"Mixed"	"6"	"face-to-face"	"treatment/rehabilitation center"	4	94	NA	"Low"	"No"	NA
"Benz (2019)"	"a"	1	1	0	1	1	1	1	0	0	0	"Qigong/tai chi activities, humour therapy, horticultural therapy, nursing care, regular medical consultations, including drug therapy."	1	1	1	1	0	0	"Qigong instructor, creative therapist, humor therapist"	"inpatient"	"Mixed"	"6"	"face-to-face"	"treatment/rehabilitation center"	4	94	NA	"Low"	"No"	NA
"Benz (2019)"	"b"	1	1	0	1	1	1	1	0	0	0	"Qigong/tai chi activities, humour therapy, horticultural therapy, nursing care, regular medical consultations, including drug therapy."	1	1	1	1	0	0	"Qigong instructor, creative therapist, humor therapist"	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"treatment/rehabilitation center"	4	94	NA	"Low"	"No"	NA
"Benz (2019)"	"b"	1	1	0	1	1	1	1	0	0	0	"Qigong, creative therapy (humor therapy), medical consultations"	1	1	1	0	0	0	"Qigong instructor, creative therapist, humor therapist"	"inpatient"	"Mixed"	"6"	"face-to-face"	"treatment/rehabilitation center"	4	94	NA	"Low"	"No"	NA
"Bergstrom (2014)"	"a"	1	1	0	0	1	1	0	1	0	1	"Consultation with Social insurance agency, primary care physician, if needed."	1	1	1	1	0	1	NA	"outpatient"	"Group (>90%)"	"10-12"	"face-to-face"	"hospital"	5	NA	NA	"Low"	"No"	NA
"Bergstrom (2001)"	"a"	1	1	0	0	1	0	0	1	0	0	"methods for pain relief (TENS, autotraction, acupuncture)"	0	0	1	0	0	0	"ergonomists / fitness trainers"	"inpatient"	"Group (>90%)"	"14"	"face-to-face"	"treatment/rehabilitation center"	4	160	NA	"Medium"	"No"	NA
"Bileviciute-Ljungar (2014)"	"a"	1	1	0	0	0	1	0	0	1	0	"social training; group counseling; family meetings; individual contact with different team members; visit to labour market institute; Hot packs, cool-packs, TENS and acupuncture  (not stimulated)"	1	1	1	1	1	1	"medical secretary"	"outpatient"	"Mixed"	"8"	"face-to-face"	"hospital"	8	143	NA	"Low"	"No"	NA
"Bileviciute-Ljungar (2014)"	"b"	1	1	0	0	0	1	0	0	1	0	"social training; group counseling; family meetings; individual contact with different team members; visit to labour market institute; Hot packs, cool-packs, TENS and acupuncture  (not stimulated)"	1	1	1	1	1	1	"medical secretary"	"outpatient"	"Mixed"	"8"	"face-to-face"	"hospital"	8	143	NA	"Low"	"No"	NA
"Borys (2015)"	"a"	1	1	0	1	0	0	1	1	0	1	NA	1	1	1	0	0	1	NA	"inpatient"	"Mixed"	NA	"face-to-face"	"hospital"	3	168	NA	"Low"	NA	NA
"Brendbekken (2016)"	"a"	0	1	0	0	0	1	0	0	0	1	NA	1	0	1	0	0	1	NA	"outpatient"	"Individual (>90%)"	NA	"face-to-face, coaching by telephone"	"hospital"	NA	8	15	"Low"	"Yes"	"at 12 months f/u: phone contact to use the ISIVET for the last time."
