"author_year_id"	"treatment_aim"	"treatment_modalities"	"phy"	"psy"	"pt"	"ot"	"nur"	"swo"	"in_out_patient"	"type_of_contact"	"group_size"	"setting"	"time_span"	"treatment_time"	"tailoring"	"followup_sessions_provided"
"Abbasi (2012): a"	"General aim of treatment: General aim of treatment programs: improving patients’ pain management skills, physical capacities and psychological functioning. Specific aim of Spouse assistance: spousal response to the development and maintenance of chronic pain and the need to involve partners in treatment efforts are increasingly being acknowledged as important elements to address through treatment"	"ed, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	0	0	"out"	"Mixed"	"6"	"pain clinic"	7	14	"lo"	"no"
"Abbasi (2012): b"	NA	"ed, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	0	0	NA	"Mixed"	NA	"pain clinic"	7	15	"lo"	"no"
"Beaudreuil (2010): a"	"na; General aim of treatment programs: Functional restoration therapy (FRT) is an intensive multidisciplinary approach to the management of incapacitating low back pain to improve overall disability and work ability."	"ex, re, oth"	1	0	1	1	0	1	"out"	"Group (>90%)"	"2-6"	"hospital"	5	137	"lo"	"no"
"Bendix (2000): a"	"Focused on self-responsibility, activity and a multidisciplinary approach."	"ed, ex, re, pm, oth"	1	1	1	1	0	0	"out"	"Group (>90%)"	NA	"hospital"	3	117	"lo"	"yes"
"Bendix (1998): a"	"to restore the patients’ physical, psychosocial, and socioeconomic situation by focusing on active functioning."	"ed, ex, (cognitive) behavioral therapy, re, oth"	1	1	1	1	0	1	"out"	"Group (>90%)"	"6-8"	"pain clinic"	3	135	"lo"	"no"
"Bendix (1998): b"	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	"lo"	"no"
"Bergstrom (2014): a"	"General arm: to attain a higher level of body awareness and perceived health. Main goal: decreased sick leave and rtw.

"	"ed, ex, re, pm, ba, te, oth"	1	1	1	1	0	1	"out"	"Group (>90%)"	"10-12"	"hospital"	5	NA	"lo"	"no"
"Bileviciute-Ljungar (2014): a"	"higher level of activity, rtw, pain reduction."	"ed, ex, pm, wo, oth"	1	1	1	1	1	1	"out"	"Mixed"	"8"	"hospital"	8	143	"lo"	"no"
"Bileviciute-Ljungar (2014): b"	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	"lo"	"no"
"Borys (2015): a"	"To improve functional capacity, reduce pain intensity, improve emotional functioning and well-being, and increase knowledge of bps pain mechanisms and pain related coping strategies."	"ed, ex, (cognitive) behavioral therapy, ph, ba, te"	1	1	1	0	0	1	"in"	"Mixed"	NA	"hospital"	3	168	"lo"	"no"
"Brendbekken (2016): a"	"The application of ISIVET in assessment of health complaints can facilitate patient empowerment and SDM. This may lead to improvements of patient satisfaction,
adherence to treatment and better health outcomes."	"ex, pm, te"	1	0	1	0	0	1	"out"	"Individual (>90%)"	NA	"hospital"	NA	8	"lo"	"yes"
"Cardosa (2012): a"	"aimed at improving daily functional activities and general psychological well-being and pain re-conceptualisation (as chronic but not harmful)."	"ed, ex, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	1	0	"in"	"Group (>90%)"	NA	"hospital"	2	60	"lo"	"no"
"De Rooij (2014): a"	"to teach patients to cope with pain and to reduce the interference of pain in their daily lives."	"ed, ex, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	1	0	1	"out"	"Mixed"	NA	"treatment/rehabilitation center"	7	49	"hi"	"yes"
"Dysvik (2013): a"	"To improve physiological consequences that may worsen pain; shift focus from pain and disability towards effective coping."	"ed, ex, pm, ba, oth"	1	1	1	0	1	0	"out"	"Group (>90%)"	"8-12"	"hospital"	8	45	"lo"	"yes"
"Frost (2000): a"	"to decrease functional disability, increase the patients’ confidence in their ability to carry out normal activities of daily living despite pain, improve general health and psychological status, and increase physical endurance."	"ed, ex, oth"	1	1	1	0	0	0	"out"	"Group (>90%)"	"maximum of 5"	NA	3	97	"lo"	"yes"
"Gantschnigg (2017): a"	"Acquire fundamental information about pain (phase 1); learn skills and strategies to cope with pain and increase activity (phase 1,2,3); apply competences in daily life and increase work participation (phase 3)."	"ed, ex, (cognitive) behavioral therapy, re, pm, ba, wo"	1	1	1	1	1	1	"mix"	"Mixed"	NA	"hospital"	12	108	"med"	"no"
"Grahn (2000): a"	"To help patients return to an active, self-reliant life and to facilitate their return to work. Program was based on whole-person perspective with a bio-psycho-social theoretical approach focusing on BAT and cognitivie and relaxation treatment."	"ed, ex, (cognitive) behavioral therapy, re, pm, ba, wo, oth"	1	0	1	1	1	0	"in"	"Mixed"	NA	"treatment/rehabilitation center"	4	120	"hi"	"yes"
