"author";"year";"cohort_id";"treatment_aim";"treatment_modalities";"healthcare_providers";"in_out_patient";"type_of_contact";"group_size";"mode_of_delivery_subinfo";"setting";"time_span";"hours";"minutes";"tailoring";"followup_sessions_provided";"followup_sessions_description";"other_healthcare_providers";"other_procedures";"author_year";"ed";"ex";"ga";"ph";"wo";"bt";"pm";"te";"ba";"re";"phy";"psy";"pt";"ot";"nur";"swo"
"Vendrig";"(2000)";"a";"Return to work";"education, exercise, graded activity, pharmacological treatment, workplace advice";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";NA;"face-to-face";"treatment/rehabilitation center";4;NA;NA;NA;NA;NA;"orthopedic surgeon; reintegration therapist";"Follow-up meeting";"Vendrig (2000)";1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0
"Abbasi";"(2012)";"a";"General aim of treatment: General aim of treatment programs: improving patients’ pain management skills, physical capacities and psychological functioning. Specific aim of Spouse assistance: spousal response to the development and maintenance of chronic pain and the need to involve partners in treatment efforts are increasingly being acknowledged as important elements to address through treatment";"education, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Mixed";"6";"face-to-face";"pain clinic";7;14;45;NA;NA;NA;"orthopedic surgeon";"influence of spouse responses.
relapse prevention";"Abbasi (2012)";1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0
"Bendix";"(2000)";"a";"Focused on self-responsibility, activity and a multidisciplinary approach.";"education, exercise, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";NA;"face-to-face";"hospital";3;117;NA;NA;"yes";"Three single days followed the 3-week period of daily training. Two days were placed in the second and third week after the intensive program, and the third day after 2 months.
";NA;"Psychology: optional: interview with patient and partner.";"Bendix (2000)";1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0
"Borys";"(2015)";"a";"To improve functional capacity, reduce pain intensity, improve emotional functioning and well-being, and increase knowledge of bps pain mechanisms and pain related coping strategies.";"education, exercise, (cognitive) behavioral therapy, pharmacological treatment, body awareness therapy, team meetings";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), social worker (counsellor)";"inpatient";"Mixed";NA;"face-to-face";"hospital";3;168;NA;"Low";NA;NA;NA;NA;"Borys (2015)";1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1
"Beaudreuil";"(2010)";"a";"na; General aim of treatment programs: Functional restoration therapy (FRT) is an intensive multidisciplinary approach to the management of incapacitating low back pain to improve overall disability and work ability.";"exercise, relaxation, Other";"Physician (rehabilitation, occupational, general), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor), other";"outpatient";"Group (>90%)";"2-6";"face-to-face";"hospital";5;137;30;"Low";NA;NA;"Rheumatologist";"na";"Beaudreuil (2010)";0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1
"De Rooij";"(2014)";"a";"to teach patients to cope with pain and to reduce the interference of pain in their daily lives.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor)";"outpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";7;49;NA;"High";"Yes";"- 4-6 months of tailored individual treatment - 2 optional evaluation sessions";NA;"Assertiveness training + Making a personalized plan, based on individual needs and requirements";"De Rooij (2014)";1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1
"Dysvik";"(2013)";"a";"To improve physiological consequences that may worsen pain; shift focus from pain and disability towards effective coping.";"education, exercise, pain management skills, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), nurse, other";"outpatient";"Group (>90%)";"8-12";"face-to-face, coaching by telephone";"hospital";8;45;NA;"Low";"Yes";"•	2 follow-up sessions (6m and 12m): focus on exercise and education on nutrition and pain, challenges and future plans. Homework on nutrition and health improvements/, thinking on how to continue. 12m was telephone sessions.";"nutritionist";"follow-up sessions";"Dysvik (2013)";1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;0
"Gantschnigg";"(2017)";"a";"Acquire fundamental information about pain (phase 1); learn skills and strategies to cope with pain and increase activity (phase 1,2,3); apply competences in daily life and increase work participation (phase 3).";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy, workplace advice";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor), nurse";"inpatient and outpatient combined";"Mixed";NA;"face-to-face";"hospital";12;108;NA;"Medium";"No";NA;NA;"medical treatment, occupational therapy, social workers intervention,";"Gantschnigg (2017)";1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1
"Grahn";"(2000)";"a";"To help patients return to an active, self-reliant life and to facilitate their return to work. Program was based on whole-person perspective with a bio-psycho-social theoretical approach focusing on BAT and cognitivie and relaxation treatment.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy, workplace advice, Other";"Physician (rehabilitation, occupational, general), physiotherapist (physical therapist), occupational therapist (ergo therapist), nurse, other";"inpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";4;120;NA;"High";"Yes";"at least 3 follow-up meetings (3m 6m 12m), where the patient obtained further advice from the team";"Specialist consultants in orthopaedics and psychiatry";"Social activities (e.g. creative and cultural activities)";"Grahn (2000)";1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;0
"Frost";"(2000)";"a";"to decrease functional disability, increase the patients’ confidence in their ability to carry out normal activities of daily living despite pain, improve general health and psychological status, and increase physical endurance.";"education, exercise, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist)";"outpatient";"Group (>90%)";"maximum of 5";"face-to-face, coaching by telephone";NA;3;97;30;"Low";"Yes";"4 full day follow-up sessions , to monitor and maintain progress in exercises, discuss changes in their lifestyle, and any problems that might have arisen";NA;"Individual psychologist sessions for patients who had particular psychological problems affecting their rehabilitation; video assessment of posture and daily life activities at pre and post measurement, to identify progress.";"Frost (2000)";1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
