"author";"year";"cohort_id";"cohort_name";"sample_size";"sample_size_pre";"sample_size_post";"sample_size_fu";"nationality";"female_gender";"age_m";"age_sd";"patient_group";"minimum_pain_duration";"pain_duration_months_m";"pain_duration_sd";"age_m_sd";"author_year";"attrition_post";"attrition_fu"
"Vendrig";"(2000)";"a";"Multidisciplinary behavioural program for chronic pain";147;143;NA;130;"Netherlands";31;41.6;"(8.5)";"Chronic low back pain";NA;"46.3";NA;"41.6 (8.5)";"Vendrig (2000)";NA;NA
"Abbasi";"(2012)";"a";"Spouse assisted multidisciplinary pain management program";36;10;9;9;"Iran";88;45;"(10)";"Low back pain";"6";"74 (median)";NA;"45 (10)";"Abbasi (2012)";10;0
"Bendix";"(2000)";"a";"Functional Restoration";138;59;51;48;"Denmark";66.1;42.1;"(NA)";"Chronic low back pain";NA;"?";NA;"42.1 (NA)";"Bendix (2000)";13.56;5.88
"Borys";"(2015)";"a";"Multimodal therapy";155;155;155;63;"Germany";55.6;58.3;"(10.4)";"Chronic low back pain";"3";"217.2";"172.8";"58.3 (10.4)";"Borys (2015)";0;59.35
"Beaudreuil";"(2010)";"a";"Functional restoration program";39;39;39;39;"France";28;42.9;"(8.2)";"Low back pain";"3";"28.6";"32";"42.9 (8.2)";"Beaudreuil (2010)";0;0
"De Rooij";"(2014)";"a";"Multidisciplinary treatment programme";138;133;NA;114;"Netherlands";95;45.04;"(10.3)";"Chronic widespread pain";NA;"84";NA;"45.04 (10.3)";"De Rooij (2014)";NA;NA
"Dysvik";"(2013)";"a";"Multidisciplinary pain management programme";117;117;104;95;"Norway";79;45;"(11.25)";"Chronic non-malignant pain";"6";"89.9";NA;"45 (11.25)";"Dysvik (2013)";11.11;8.65
"Gantschnigg";"(2017)";"a";"BAI-REHA";30;24;23;24;"Swiss";43;44.83;"(12.57)";"ICD-10 diagnosis of chronic musculoskeletal pain";NA;NA;NA;"44.83 (12.57)";"Gantschnigg (2017)";4.17;-4.35
"Grahn";"(2000)";"a";"Multidisciplinary rehabilitation";236;122;NA;113;"Sweden";82;44.3;"(9.1)";"Prolonged musculoskeletal disease as main diagnosis";NA;"68.4";"73.2";"44.3 (9.1)";"Grahn (2000)";NA;NA
"Frost";"(2000)";"a";"Functional restoration";129;123;121;97;"United Kingdom";45;43;"(9)";"Constant pain";"12";NA;NA;"43 (9)";"Frost (2000)";1.63;19.83
"Hafenbrack";"(2013)";"a";"Berlin";681;560;544;242;"Germany";49.2;45.54;"(9.42)";"Back pain";NA;NA;NA;"45.54 (9.42)";"Hafenbrack (2013)";2.86;55.51
"Hafenbrack";"(2013)";"b";"Hamburg";NA;157;152;68;NA;NA;NA;"(NA)";NA;NA;NA;NA;"NA (NA)";"Hafenbrack (2013)";3.18;55.26
"Hallstam";"(2016)";"a";"Multimodal rehabilitation";42;42;NA;29;"Sweden";90.5;43.6;"(15.7)";"Complex pain problems";NA;">25 months pain (83% of the cohort)";NA;"43.6 (15.7)";"Hallstam (2016)";NA;NA
"Jensen";"(1997)";"a";"multimodal cognitive behavioral treatment only (regular intervention)";63;30;28;25;"Sweden";100;43;"(9)";"Non specific spinal pain without neurological signs";NA;"51";"68";"43 (9)";"Jensen (1997)";6.67;10.71
"Jensen";"(1997)";"b";"Multimodal cognitive behavioral treatment (experimental program)";NA;33;31;29;NA;100;45;"(8)";NA;NA;"44";"66";"45 (8)";"Jensen (1997)";6.06;6.45
"Mangels";"(2009)";"a";"Behavioral-medical rehabilitation";363;113;113;106;"Germany";78.8;49.5;"(9)";"Musculoskeletal pain";NA;NA;NA;"49.5 (9)";"Mangels (2009)";0;6.19
"Mangels";"(2009)";"b";"Behavioral-medical rehabilitation+booster";NA;119;119;111;NA;75.6;48.3;"(15.8)";NA;NA;NA;NA;"48.3 (15.8)";"Mangels (2009)";0;6.72
"Martin";"(2012)";"a";"PSYMEPHY";180;120;108;93;"Spain";93.46;49.07;"(8.92)";"Fibromyalgia";"6";"174.22";"119.52";"49.07 (8.92)";"Martin (2012)";10;13.89
"McAllister";"(2005)";"a";"Multidisciplinary chronic pain program";276;276;219;99;"United States";66.3;44.7;"(9.7)";"Chronic non-malignant pain";"6";NA;NA;"44.7 (9.7)";"McAllister (2005)";20.65;54.79
